Brother Jekwu,2016,101 min,"Comedie International ","Chasing wild succes a village hustler follows his cousin from Nigeria to Kenya and stumbles into the shady business affairs of a notorious overlord."
Misha and the WolveSam Hobkinson,2021,90 min,"Documentarie International ","As a little girl, she escaped the Holocaust and lived among wolves. Or did she? An extraordinary story elicits sympathy — then draws scrutiny."
Quartet,2012,98 min,"Comedie Drama Independent ","To save their posh retirement home, former opera stars plan a gala recital — until the biggest diva among them refuses to sing."
The Swarm,2021,102 min,"Horror Independent Movie International ","A single mother breeds locusts as high-protein food, but has trouble getting them to reproduce — until she finds they have a taste for blood."
Chennai ExpresRohit Shetty,2013,135 min,"Action & Adventure, Comedie International ",What could have been a sad journey turns joyful for Rahul when he falls in love with a woman en route to submerging his grandfather's ashes.
Catch Me If You Can,2002,142 min,Drama"An FBI agent makes it his mission to put cunning con man Frank Abagnale Jr. behind bars. But Frank not only eludes capture, he revels in the pursuit."
Deep Blue Sea,1999,105 min,"Action & Adventure, Horror Sci-Fi & Fantasy",Scientists conduct research on sharks in search of an Alzheimer's cure. But a dangerous shortcut leads to huge sharks with near-human intelligence.
Good Luck Chuck,2007,99 min,"Comedie Romantic ","Every time Chuck breaks up with a girlfriend, she ends up engaged to her next boyfriend. Soon, women are dating Chuck in hopes of meeting Mr. Right."
Inception,2010,148 min,"Action & Adventure, Sci-Fi & Fantasy, Thrillers",A troubled thief who extracts secrets from people's dreams takes one last job: leading a dangerous mission to plant an idea in a target's subconscious.
PomZara Haye"United Kingdom,2019,91 min,Comedie"After moving to a retirement community, loner Martha befriends a fun-loving neighbor and forms a cheerleading club for young-at-heart seniors."
Team America: World Police,2004,98 min,"Action & Adventure, Comedie Cult ","In this musical satire, an all-marionette police force takes on the challenging role of keeping the peace on a troubled planet."
The Edge of Seventeen Craig,2016,105 min,"Comedie Dramas",A troubled teenager finds high school life even less bearable after she catches her childhood best friend hooking up with her popular older brother.
The LoserSylvain White,2010,97 min,Action & Adventure,"After a search-and-destroy mission leads to betrayal, an elite black ops squad seeks revenge. But they must remain deep undercover to even the score."
Pomegranates and Myrrh,2009,95 min,"Drama Independent International ","After her husband is placed under Israeli detention, a Palestinian newlywed is left to deal with the fallout, resorting to her passion for Dabke to cope."
Resort to Love,2021,102 min,"Comedie Romantic ","Reeling from a broken heart and career meltdown, a singer takes a gig at a swanky island resort — where her ex-fiancé happens to be getting married."
Hostage House,2021,86 min,Thriller"A realtor and her daughter get taken captive by two fugitive criminals during an open house, forcing her to find creative ways to ensure their survival."
Mimi,2021,132 min,"Comedie Drama International ","An aspiring actress in a small town agrees to bear a child for a visiting couple seeking a surrogate mother, but her experience takes unexpected turns."
Wannabe CourageouMahmoud Karim,2019,90 min,"Comedie International ","When his newlywed wife becomes disenchanted because he failed to protect her from danger, Omar seeks the help of a quirky psychiatrist to win her back."
Sanitation Day,2020,105 min,"Drama International Thrillers",Two cops must contend with the uncooperative tenants of an apartment complex as they try to solve a murder before the crime scene is wiped clean.
The Tambour of Retribution,2021,91 min,"Drama International Romantic ","In an impoverished neighborhood, the son of a swordsman falls in love with the daughter of a wedding singer — a taboo match in a traditional society."
La ley de HerodeLuis Estrada,1999,123 min,"Comedie International ","Following the brutal 1949 murder of a small Mexican town's mayor, genteel and humble janitor Juan Vargas is appointed his successor."
The Unknown Saint Aljem,2019,100 min,"Comedie Drama Independent ","Following a stint behind bar a thief returns to where he buried his loot, only to find that his hiding spot is now a shrine to an unknown saint."
Gunpowder Milkshake,2021,115 min,"Action & Adventure, Comedies","When an assassin veers off mission to rescue a child, she triggers a war with a powerful crime syndicate — and reunites a gun-wielding sisterhood."
American Ultra,2015,96 min,"Action & Adventure, Comedies","He's just a weed fiend going nowhere, or so he thinks. When the CIA tries to eliminate him, his long-dormant superspy training comes roaring back."
Finding Hubby. Ogunsanwo,2020,105 min,"Comedie Drama International ","Oyin and her two close friends are on the hunt for husband but find that they must grapple with their own expectations as they look for love."
Lethal Love,2021,89 min,Thriller"After a business owner starts receiving online threat doubts and paranoia creep in when she reconnects with a former flame and meets a new client."
Tango With Me-Balogun,2010,104 min,"Drama International Romantic ",A newly married couple journeys through self-discovery and healing while dealing with the aftermath of a traumatic event on their wedding night.
Three ThieveUdoka Oyeka,2019,108 min,"Comedie International ","Frustrated at work, three young men use a case of mistaken identity to pull off a seemingly simple crime – but their scheme comically unravels."
Har Kisse Ke Hisse: Kaamyaab,2020,105 min,"Drama International ","After a career of thankless credit a retired actor returns for a long-awaited leading role but finds he is utterly unprepared for new-age filmmaking."
Truckbhar Swapna,2018,128 min,"Comedie Drama International ",A taxi driver living in a Mumbai slum seeks to better his family's life by building an extension of his home while dealing with a lecherous contractor.
Ujala,1959,143 min,"Drama International ","An honest man dreams of a better life for his family, but a childhood friend leads him into a world of crime that keeps happiness just out of reach."
Air Force One,1997,125 min,Action & Adventure,"When terrorists hijack Air Force One with the president and his family on board, the commander-in-chief takes matters into his own well-trained hands."
Dreamy EyeVictor Vu,2019,117 min,"Drama International Romantic ","Through heartbreak and betrayal, Ngan's unrequited love for his childhood best friend Hà La endures for a generation in this sweeping romance."
Dynasty WarriorChow Hin Yeung Roy,2021,118 min,"Action & Adventure, International ","Warlord warriors and statesmen wage a battle for supremacy in this fantasy tale based on the hit video games and the ""Romance of the Three Kingdoms."""
Hampstead"United Kingdom,2019,103 min,"Comedie Drama International ",An American widow in London forms an unexpected relationship with a man living off the grid in a beautiful park ripe for development.
Kung Fu Panda 2 Nelson,2011,93 min,"Children & Family Comedies","With his fists up and belly full, Po embarks on a perilous journey with the Furious Five to take on a frightful new enemy and save the art of kung fu."
Mobile Suit Gundam Hathaway,2021,96 min,"Action & Adventure, Anime Feature International ","After Char’s rebellion, Hathaway Noa leads an insurgency against Earth Federation, but meeting an enemy officer and a mysterious woman alters his fate."
No Strings Attached,2011,109 min,"Comedie Romantic ","""Friends with benefits"" Emma and Adam are fine with their open relationship ... until those pesky little things called feelings enter the picture."
Red Joan,2019,101 min,"Drama International ","When an unassuming elderly widow is arrested for treason, her tangled secret past as the KGB's longest-serving British spy is exposed."
Star Trek,2009,128 min,"Action & Adventure, Sci-Fi & Fantasy","On their first voyage aboard the starship Enterprise, cocky rebel James T. Kirk and logic-driven Vulcan Spock try to defeat a vengeful Romulan commander."
The American,2010,105 min,"Drama Thrillers","Dispatched to a small Italian town to await further order assassin Jack embarks on a double life that may be more relaxing than is good for him."
What Dreams May Come,1998,114 min,"Drama Romantic Sci-Fi & Fantasy","A physician finds himself in heaven after an accident, inhabiting the landscape of his wife's paintings while seeking to rescue her from the underworld."
Working Title,2019,110 min,Drama"In the '70 a graduate student works with three incarcerated women from the Manson Family as they look back at their lives. Based on a true story."
Deranged,2020,98 min,"Drama International ",A substitute teacher and an obsessive student begin an illicit affair that endangers everyone involved and blurs the line between predator and prey.
A Way Back Home,2020,82 min,"Drama International ","After receiving a terminal diagnosi a man fakes an accident to spare his family’s grief and must deal with the fallout of his deception."
Wanted,2019,90 min,"Comedie International ",Four seniors embark on misadventures after breaking out of their nursing home to save a loved one’s grave from demolition by estate developers.
The Ice Road,2021,109 min,Action & Adventure,"To save a team of miners trapped underground, a down-on-his-luck ice road trucker joins a mission across treacherous terrain to deliver rescue equipment."
Sisters on Track,2021,97 min,"Documentarie Sports ",Three track star sisters face obstacles in life and in competition as they pursue Junior Olympic dreams in this extraordinary coming of age journey.
Murder by the Coast,2021,89 min,"Documentarie International ","In 1999, teen Rocío Wanninkhof is murdered. Her mother's ex-partner, Dolores Vázquez, is suspected. Did she do it? A second victim reveals the truth."
Broken,2019,108 min,"Drama International Romantic ","After running away from her marriage, a woman enters a dangerous agreement with an unfamiliar man to save her father's company and her reputation."
O Vendedor de SonhoJayme Monjardim,2016,96 min,"Drama International ",A disillusioned psychologist tries to commit suicide until he strikes up a friendship with an unlikely savior who teaches him a new way of living.
Mobile Suit Gundam: Char's Counterattack,1988,120 min,"Action & Adventure, Anime Feature International ","Thirteen years after the war, the Neo Zeon army threatens the peace. Armed with the Nu Gundam, Amuro Ray and Federation forces take the field once more."
Kambili: The Whole 30 YardKayode Kasum,2020,119 min,"Comedie International Romantic ","Determined to marry before she turns 30, a woman tries to change her impulsive ways and do whatever it takes to win back the boyfriend who left her."
Rurouni Kenshin: The Final,2021,137 min,"Action & Adventure, International ","In 1879, Kenshin and his allies face their strongest enemy yet: his former brother-in-law Enishi Yukishiro and his minion who've vowed their revenge."
Ali & Ratu Ratu QueenLucky Kuswandi,2021,101 min,"Comedie Drama International ","After his father's passing, a teenager sets out for New York in search of his estranged mother and soon finds love and connection in unexpected places."
Besieged Bread,2015,12 min,"Drama International ","In battle-ridden Syria, a woman trying to smuggle bread into a blockaded area crosses paths with a soldier who has deserted the regime's forces."
A Man For The Week End,2018,95 min,"Comedie Drama International ",A career-focused woman convinces a colleague to pose as her boyfriend for a family visit — and must face a meddling mom and some unexpected feelings.
The Reason I Jump,2021,82 min,DocumentarieThe diverse experiences and emotions of five young people with autism fuel this illuminating documentary based on Naoki Higashida's bestselling memoir.
Skater Girl,2021,110 min,"Children & Family Drama International ","When a teen in rural India discovers a life-changing passion for skateboarding, she faces a rough road as she follows her dream to compete."
Trese After Dark,2021,36 min,"Anime Feature Documentaries","Stars and creators gather to discuss “Trese,” from its Filipino folklore inspirations to the comic’s beginnings and its journey to an anime series."
Wish Dragon"China,2021,102 min,"Children & Family Comedies",Determined teen Din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities.
Gold Statue,2019,145 min,"Comedie Drama International ","After tracing an artifact to his ancestry, a young man and his friend's search for a gilded statue lands them in a maximum-security prison."
Seven Souls in the Skull Castle: Season Moon Jogen,2017,204 min,"Action & Adventure, Drama International ","Japan, 1590. Wandering samurai band together to take on the lord of Skull Castle in the “Moon Jogen” version of the show, performed in a 360º theater."
Sniper: Legacy Paul,2014,98 min,Action & Adventure,"When a troubled sniper begins killing officers he blames for a bungled mission, elite marksman Brandon Beckett sets out to neutralize the threat."
The Wedding Guest,2018,97 min,"Drama Romantic Thrillers","Hired to extract a bride-to-be before her arranged wedding in Pakistan, a hired gun goes on the run with his hostage when his plan unravels."
One Lagos Night Mekwunye,2021,103 min,"Comedie International ","A desperate man attempts to burglarize the home of a wealthy woman, but finds himself face-to-face with a crew of armed robbers who have the same idea."
99 SongVishwesh Krishnamoorthy,2021,131 min,"Drama International Music & Musicals","Challenged to compose 100 songs before he can marry the girl he love a tortured but passionate singer-songwriter embarks on a poignant musical journey."
Asmaa,2011,92 min,"Drama International ","Constantly denied medical treatment, an HIV positive woman confronts societal stigma with unexpected courage. Inspired by true events."
Sardar Ka Grandson,2021,140 min,"Comedie Drama International ","A devoted grandson’s mission to reunite his ailing grandmother with her ancestral home turns into a complicated, comic cross-border affair."
Layer Cake,2004,105 min,"Independent International Movie Thrillers","A suave, steely-eyed London cocaine dealer's retirement plans hit a violent snag when his boss asks him to do one more job."
Wave of Cinema: Filosofi Kopi,2020,64 min,"Documentarie International Music & Musicals","In this concert film, artists perform music from the soundtrack of ""Filosofi Kopi,"" which tells the story of coffee and the people who cherish it."
Dear Affy,2020,126 min,"Comedie Drama International ",An engaged couple hit a number of speed bumps on their road to matrimony including major career complications and questions of fidelity.
Super Me,2021,104 min,"Action & Adventure, Drama International ",A struggling screenwriter discovers his lucrative ability to bring antiques from his dreams into the real world — but his new life soon unravels.
Milestone,2021,98 min,"Drama Independent International ","Recently marking 500,000 kilometers on the road, a newly bereaved trucker faces the threat of losing the job that has come to define him to a new intern."
Mystic River,2003,138 min,"Drama Thrillers","Haunted by a monstrous crime, three childhood friends in Boston cross paths again decades later in connection with a murder investigation."
Stargate,1994,121 min,"Action & Adventure, Sci-Fi & Fantasy",An Egyptologist joins a mission into the unknown when he helps the military unlock the mystery of a stone archway that's a portal to another universe.
The Darkest Hour,2011,89 min,"Action & Adventure, Sci-Fi & Fantasy",Young Americans visit Moscow when the city is turned upside down by an alien invasion and band together with the locals to fight back.
Under Siege"France,1992,102 min,Action & Adventure,A disgruntled former CIA operative and his group of terrorists commandeer a nuclear battleship. Standing in their way is one tough cook.
Seven,2019,113 min,"Drama International ","After his affluent father passe a man must survive seven days in the Nigerian neighborhood of Ajegunle, where obstacles keep him from his inheritance."
Between WorldMaria Pulera,2018,91 min,Thriller"Grieving for his dead wife and daughter, a trucker plunges into a romance with a mother who needs his help. The dead, however, are far from gone."
Ram Prasad Ki Tehrvi,2019,113 min,"Drama Independent International ","Conflict complications and confrontations make for an emotional and eventful affair when a multigenerational family reunites in Lucknow."
Dedemin Fisi,2016,101 min,"Comedie International ","When a brain-dead family patriarch is about to be taken off life support, his extended family gathers round and plots to see who'll get his money."
This Lady Called Life,2020,120 min,"Drama International Romantic ","Abandoned by her family, young single mother Aiye struggles to survive but stays focused on her dream of becoming an elite chef."
Jaane Tu... Ya Jaane Na,2008,147 min,"Comedie International Music & Musicals",Soft-spoken Jai and spitfire beauty Aditi couldn't be more different – but their family and friends know that they're a perfect match.
Madness in the Desert,2004,141 min,"Documentarie International ","The story of making ""Lagaan,"" one of the millennium's seminal Indian film is told from the point of view of production team member Satyajit Bhatkal."
Taare Zameen Par,2007,162 min,"Drama International ","When daydreamer Ishaan is sent to boarding school, an unconventional art teacher tries to help the imaginative student discover his true identity."
Into the Beat,2020,102 min,"Drama International Romantic ",A teen ballerina discovers hip-hop by chance and is faced with an impossible choice: Does she follow her parents’ footsteps... or her newfound passion?
Tuesdays & FridayTaranveer Singh,2021,106 min,"Comedie Drama International ","To avoid the burden of commitment, a young lawyer and a writer agree to be romantic partners only two days a week. That won’t get complicated — right?"
Wave of Cinema: One Day We'll Talk About Today,2020,71 min,"Documentarie International Music & Musicals","Delve into a musical concert and relive moments from ""One Day We'll Talk About Today,"" a film about family and intergenerational trauma."
Uppena Sana,2020,145 min,"Drama International Romantic ","The son of a fishing community falls for a village head's daughter, but they face violent opposition from the girl’s doggedly old-fashioned father."
New Gods: Nezha Reborn,2021,118 min,"Action & Adventure, Anime Feature International ","While living as an ordinary deliveryman and motor racing fan, Nezha encounters old nemeses and must rediscover his powers to protect his loved ones."
Roohi,2021,133 min,"Comedie Horror International ","Hired to kidnap a bride, two bumbling pals face a wacky predicament when one falls for their abductee — and the other, for the spirit possessing her."
Mandela,2021,140 min,"Comedie Drama International ","Amid a local election with two rivals vying to win by any means necessary, a barber lands in a curiously powerful position as the single deciding vote."
Escape from Planet Earth,2013,89 min,"Children & Family Comedie Sci-Fi & Fantasy","This all-ages animated comedy follows the adventures of astronaut Scorch Supernova, a hero of the blue aliens who has a vast appetite for adventure."
Air Strike,2018,97 min,"Action & Adventure, Drama International ",The residents of Chongqing try to survive Japanese air raids as a U.S. military advisor trains a squadron of Chinese pilots desperate to fight back.
3 IdiotRajkumar Hirani,2009,164 min,"Comedie Drama International ","While attending one of India's premier college three miserable engineering students and best friends struggle to beat the school's draconian system."
InsidiouJames Wan,2010,103 min,"Horror Thrillers","A family moves into a new home, where their son falls into a coma and eerie events begin to reveal something far more sinister is lurking in the house."
Into the Grizzly Maze,2015,90 min,"Action & Adventure, Horror ",Estranged brothers Beckett and Rowan reunite in the Alaskan wild to confront a savage grizzly bear wreaking havoc on their hometown.
Madam Chief Minister,2020,121 min,"Drama International ","Rising from disadvantage to become a state leader, a tenacious politician learns that with great power comes great responsibility, ruthlessness and risk."
Seven Souls in the Skull Castle: Season Bird,2017,182 min,"Action & Adventure, Drama International ","Japan, 1590. Wandering samurai band together to take on the lord of Skull Castle in this “Bird” version of the dynamic show performed in a 360º theater."
Seven Souls in the Skull Castle: Season Flower,2017,181 min,"Action & Adventure, Drama International ","Japan, 1590. Wandering samurai band together to take on the lord of Skull Castle in this “Flower” version of the bold show performed in a 360º theater."
Seven Souls in the Skull Castle: Season Wind,2017,185 min,"Action & Adventure, Drama International ","Japan, 1590. Wandering samurai band together to take on the lord of Skull Castle in this “Wind” version of the dynamic show performed in a 360º theater."
Wazir,2016,98 min,"Drama International Thrillers","Helping an amputee grandmaster settle the score for his tragic past, a grieving detective unravels a conspiracy more complicated than he imagined."
Yes Man,2008,104 min,"Comedie Romantic ","After a bitter divorce, a loan officer falls under the sway of a self-help guru who urges him to say yes to everything that comes his way for a year."
Keeping the BeeEylem Kaftan,2020,93 min,"Drama International ",Ayşe returns from Germany to her Black Sea hometown and sets out to fulfill her mom's dying wish — to care for her beloved bee farms.
Caught by a Wave,2021,100 min,"Drama International Romantic ","After falling in love at a sailing summer camp in Sicily, reality comes crashing down on a teenage couple when a harsh truth prompts a pivotal decision."
Philomena"United Kingdom,2013,98 min,"Drama Independent International ",A kind-hearted Irishwoman teams with an acerbic journalist to find the son she was forced to give up for adoption 50 years ago.
The Yin Yang Master,2021,120 min,"Action & Adventure, International ","A feud erupts between realm and Yin Yang master Qing Ming teams up with disgraced guard Yuan Boya to vanquish a demonic threat as a conspiracy looms."
Get the Goat,2021,98 min,"Action & Adventure, Comedie International ","Two hapless cops find themselves in over their heads as they cross paths with dangerous criminals while searching for Celestina, a beloved goat mascot."
C/O Kaadhal,2021,131 min,"Drama International Romantic ","Cutting across conventions and expectation four brave love stories blossom in this Tamil remake of the 2018 Telugu film ""Care of Kancharapalem.”"
Generasi 90an: Melankolia Ramly,2020,94 min,"Drama International ","After the devastating loss of a loved one, Abby forms a bond with his sister's best friend as he struggles to move on."
Aelay,2021,151 min,"Comedie Drama Independent ","A son stoically returns to his village upon his father’s death, recalling their chilly dynamic before a bizarre event disrupts his visit."
Fate of Alakada,2020,113 min,"Comedie International ","Faking her way through any situation, a social media influencer poses as an event planner and is tasked with throwing an extravagant, star-studded bash."
Mariposa,2020,116 min,"Comedie International Romantic ","New student Acha falls for Iqbal, a high-achieving student who's torn between love and family pressure."
Indoo Ki Jawani,2020,115 min,"Action & Adventure, Comedie International ","A spirited but naive young woman seeks a one-night stand, but after discovering her date’s real identity, things quickly go from casual to complicated."
Biggie: I Got a Story to Tell,2021,98 min,"Documentarie Music & Musicals","Featuring rare footage and in-depth interview this documentary celebrates the life of The Notorious B.I.G. on his journey from hustler to rap king."
How to Be Really Bad,2018,100 min,"Comedie International ","The devil's sassy (and bored) daughter makes a deal with her dad: If she can turn a good person evil, she gets to ditch hell and stay on Earth."
Tenacious D in The Pick of Destiny,2006,94 min,"Comedie Cult Music & Musicals","Dreaming of being a rock god, Midwesterner JB heads to California, where he crosses paths with idler KG – giving rise to the musical duo Tenacious D."
No Escape Dowdle,2015,103 min,Action & Adventure,"Soon after relocating to Southeast Asia, an American family lands in the midst of a violent coup that could cost them their lives."
Red,2021,143 min,"Drama International ","A murder investigation leads police to a photo of a suspect, but when two men are found with faces that match the picture, the case gets doubly tricky."
Fate: The Winx Saga - The Afterparty,2021,36 min,"Comedie Dramas","Stars of the fiery hit discuss the show's magic, play trivia and chow down on hot wings. Then, Taylor Tomlinson shares how she would use fairy powers."
Love,2020,91 min,"Drama Independent International ",The troubling inner workings of a toxic marriage reveal themselves in surprising ways after one of the couple’s feuds spins out of control.
Awara Paagal Deewana,2002,162 min,"Action & Adventure, Comedie Dramas",A dentist unwittingly becomes caught in the madcap fight between two criminal brothers-in-law trying to kill one another off to claim their inheritance.
Namaste Wahala Ahuja,2021,107 min,"Comedie Drama International ",An interracial romance hits humorous and heart-wrenching hiccups as the couple's parents fight tooth and nail against their relationship.
Layla Majnun,2020,119 min,"Drama International Romantic ","While in Azerbaijan, Layla, an Indonesian scholar, falls for Samir, an admirer of her work — but her arranged marriage stands in the way."
Squared Love,2021,102 min,"Comedie International Romantic ",A celebrity journalist and renowned womanizer starts to rethink his life choices after he falls for a mysterious model who leads a double life.
War DogTodd Phillip"United State Cambodia,2016,114 min,"Comedie Dramas",A massage therapist gets in over his head when he partners with a charismatic childhood pal in the lucrative but shady business of global arms dealing.
Monster Run,2020,104 min,"Action & Adventure, International ","Jimo, an outcast who can see monster teams up with a monster hunter to fight evil forces and soon discovers her greater calling."
Little Big Women,2020,123 min,"Drama International ",A family grapples with the passing of their estranged father and the remnants of the life he led during his absence.
The Yin-Yang Master: Dream Of Eternity,2021,133 min,"Action & Adventure, International ","When a demonic serpent reawaken the Yin-Yang Masters must solve a murder mystery and protect their realms from a dark conspiracy at the royal court."
The Dig,2021,113 min,"Drama International ","On the eve of World War II, a British widow hires a self-taught archaeologist to dig up mysterious formations on her land, leading to a staggering find."
Black Rose,2018,121 min,"Drama International ","Struggling in poverty with her single mother and sibling a principled young woman meets the man of her dreams but soon finds he's keeping secrets."
Hire a Woman,2019,108 min,"Comedie International Romantic ",An uptight man attempts to make his ex-girlfriend jealous when he pays his co-worker to act as his lover at a university reunion.
Death of Me Bousman,2020,94 min,Horror "With no memory of the previous night, a vacationing couple uncovers a disturbing personal video that inexplicably shows one of them killing the other."
Apaharan,2005,161 min,"Drama International ","Raised under the condescending eye of his activist father, an underachieving loafer is lured into the local kingpin’s web of corruption and kidnapping."
100% Halal,2020,101 min,"Drama International ","After high school, a young woman marries the man of her father's choice but soon faces the possibility that her religion considers the union invalid."
Hello Brother,1999,126 min,"Action & Adventure, Comedie International ","After receiving a heart transplant from a murdered man, a cop is followed around by the victim’s ghost, who won’t rest until his death has been avenged."
London HeistQueen,2017,96 min,Action & Adventure,"After a heist gone wrong, a career criminal gradually uncovers the hidden motive behind his father's murder – and it has nothing to do with money."
Bobby JasooSamar Shaikh,2014,116 min,"Comedie Drama International ","With unlimited determination and zero field experience, a small-town detective accepts a lucrative case from a mysterious – and suspicious – stranger."
Too Handsome to Handle Kalangie,2019,106 min,"Comedie Drama International ","Wary of the effects of his good looks on other a shut-in agrees to attend high school for the first time and meets a girl who's immune to his charm."
Rango,2011,110 min,"Children & Family Comedies","When he becomes lost in the desert, pet chameleon Rango pretends he's a tough guy and ends up sheriff of a corrupt and violent frontier town."
The Con Is On,2018,95 min,ComedieTwo wedded partners-in-crime flee from their massive debt to a deadly crime boss and hatch a jewel heist that could be their ticket to total freedom.
Mohamed Hussein,2019,96 min,"Comedie International ",A luxury hotel chauffeur's life is turned upside down when he unexpectedly becomes the focus of a renowned painter's final art project.
Talentime,2009,120 min,"Drama International Romantic ",The stakes are high — on stage and off — when a group of talented young musicians face off for an inter-school talent competition.
An Unremarkable ChristmaJuan Camilo Pinzon,2020,83 min,"Comedie Drama International ",An accountant and aspiring magician invites his boss to spend Christmas with his family — unaware that he's one of Colombia's most-wanted criminals.
Braven,2018,94 min,Action & Adventure,A logger defends himself and his family from a group of murderous drug traffickers who have hidden a stash of heroin in his hunting cabin.
Eggnoid: Love & Time Portal,2019,102 min,"Drama International Romantic ","Sent from the future to look after a lonely girl, Eggy finds himself falling for her. But dating is forbidden and would risk both their fates."
